CLASS,SMALL_OFFICE
HEADER,ENDUSE,DENSITY,DEMAND,ELECTRONIC,MOTORA,MOTORB,MOTORC,MOTORD,IP,IQ,PP,PQ,ZP,ZQ,PF
COMPOSITION,HEATING,0.01,0.1,0,0.3,0,0,0,0,0,0,0,0.7,0,1
COMPOSITION,COOLING,0.98,9.8,0.15,0.7,0,0.15,0,0,0,0,0,0,0,1
COMPOSITION,VENTILATION,0.34,3.4,0,0,1,0,0,0,0,0,0,0,0,1
COMPOSITION,HOTWATER,0.07,0.7,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,COOKING,0.04,0.4,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,REFRIGERATION,0.08,0.8,0,0.85,0,0,0.15,0,0,0,0,0,0,1
COMPOSITION,OUTDOOR_LIGHTS,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COMPOSITION,INDOOR_LIGHTS,1.05,10.5,0,0,0,0,0,1,0,0,0,0,0,1
COMPOSITION,OFFICE_EQUIPMENT,0.49,4.9,1,0,0,0,0,0,0,0,0,0,0,1
COMPOSITION,MISCELLANEOUS,0.24,2.4,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,PROCESS,0.01,0.1,0.3,0,0.2,0.4,0,0,0,0,0,0.1,0,1
COMPOSITION,MOTORS,0.24,2.4,0,0,0,0,1,0,0,0,0,0,0,1
COMPOSITION,COMPRESSORS,0.16,1.6,0,0,0,0,1,0,0,0,0,0,0,1
NORMALIZE,FLOORAREA,165,326,330,219,337,339,267,362,359,286,50,79,62,3180
HEADER,CEUSCODE,HEATING,COOLING,VENTILATION,HOTWATER,COOKING,REFRIGERATION,OUTDOOR_LIGHTS,INDOOR_LIGHTS,OFFICE_EQUIPMENT,MISCELLANEOUS,PROCESS,MOTORS,COMPRESSORS,TOTAL
DATA,1101,14.6842793,7.521333984,27.54014648,8.775270508,0.503646271,22.65803125,77.65328125,47.41280469,52.23471484,16.1243418,0.02609326,3.155391113,1.121250854,279
DATA,1102,17.29448047,7.358822266,29.80695898,8.765011719,0.501531647,22.65794141,77.48848438,46.50537109,52.23339844,16.07590332,0.02609326,3.124397949,1.101421631,283
DATA,1103,20.29488477,7.031879883,31.5208125,8.767771484,0.511450836,22.66500195,75.63232031,46.40510938,52.34763281,16.12653125,0.02609326,3.134089355,1.109052124,286
DATA,1104,22.56432422,7.097118164,33.23755078,8.801698242,0.578143921,22.70708984,73.22050781,47.54600391,53.03772266,16.49967969,0.02609326,3.242578857,1.181439575,290
DATA,1105,26.56733594,7.83447168,35.67271484,8.886032227,0.714807068,22.76229492,71.67817969,53.68325391,54.45925,17.148375,0.02788006,5.534977539,1.298697388,306
DATA,1106,30.34139648,7.668178223,38.89657031,9.13440625,1.115419678,22.88130273,69.03680469,71.09647656,60.23504297,19.54087891,0.047242916,5.991119629,1.683920532,338
DATA,1107,48.56456641,8.749666016,47.77397656,10.00882227,3.02943042,23.28217578,56.34041016,133.1720313,82.91526563,28.42564648,0.134183517,7.841866699,3.221052246,453
DATA,1108,88.70696094,14.58499023,66.79382813,12.07936035,7.139061523,24.281375,7.736294434,237.1844531,122.0978594,44.01158984,0.289462006,12.81394727,6.979137695,645
DATA,1109,62.47124219,30.99113867,92.11271875,14.58106152,11.37128125,25.4553418,0,332.6099375,155.6502969,59.08581641,0.356455505,15.65036621,9.065767578,809
DATA,1110,43.57510547,57.08545703,100.3296797,16.73978125,13.67876465,26.29479492,0,380.871,175.1962656,67.32654688,0.376144318,17.37715625,9.915133789,909
DATA,1111,26.11370703,85.53661719,101.3806172,17.10595898,14.20848438,26.53047461,0,387.6943125,182.2945313,69.33826563,0.384187622,17.94879102,10.24587695,939
DATA,1112,17.4052168,110.8254297,102.2367656,16.90396094,14.21450391,26.55524023,0,379.0790625,182.9539219,69.44934375,0.384651855,18.04071484,10.26785547,948
DATA,1113,13.27821191,135.0951875,103.1247891,17.12072461,13.97024414,26.51532031,0,376.654125,182.5122813,69.18111719,0.384651855,18.04969531,10.1996582,966
DATA,1114,10.98409863,153.1122188,103.9524531,16.8180957,13.56997461,26.39769531,0,379.3851875,180.6250938,68.65376563,0.384116913,18.02883984,10.1023623,982
DATA,1115,9.880095703,161.0920938,104.2199453,16.50827539,12.60423145,26.12668164,0,378.9503125,175.837,66.58154688,0.373061707,17.62323242,9.708802734,980
